IDENTIFIER: Reference ID,FORMULA,Microstructure,Processing method,grain size,Exp. Density,Calculated Density,HV,Type of test,Test temperature,YS,UTS,Elongation,Elongation plastic,Exp. Young modulus,Calculated Young modulus,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,B2,BCC,FCC,Sec.,HCP,L12,Laves,Other,ANNEAL,CAST,OTHER,POWDER,WROUGHT,C_test,T_test
165,Al0.24 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,,6.34,6.3,,C,1000,82,,,,,,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,B2+BCC,OTHER,,7.14,7.1,,C,1000,745,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165,Cr1 Nb0.333 Ti0.333 Zr0.333,BCC+Laves,OTHER,,6.56,6.8,,C,1000,139,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0.333,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Laves,OTHER,,7.98,8,,C,1000,546,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,,8.46,8.5,,C,1000,398,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0.3,0,0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
165,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,,8.16,8.2,,C,1000,614,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0.5,0,0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
165,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,,7.89,7.9,,C,1000,673,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0.7,0,0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
165,Mo1 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,,7.27,7.1,,C,1000,467,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Nb1 Re0.3 Ti1 Zr1,BCC+Laves,OTHER,,7.81,7.5,,C,1000,323,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Nb1 Ta1 Ti1 V1 Zr1,BCC+BCC,OTHER,,8.43,8.5,,C,1000,190,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
